Feature,Coefficient
Intercept,3.478061176635468
addr_state_AL_OK_LA,-0.1836946930666064
addr_state_CA,-0.23141166075517497
addr_state_CT,-0.4126008683863815
addr_state_FL,-0.1382827039417107
addr_state_HI,-0.18870888338326336
addr_state_IL,-0.39840827386759503
addr_state_IN_OR_WA_GA,-0.32412106972704396
addr_state_KY_RI_ID,-0.29306646573928546
addr_state_MD_NJ_VA_NC_NM,-0.20433966649236077
addr_state_MN_MA_SD,-0.2273878615002016
addr_state_MO,-0.26348171966389977
addr_state_MS_AK_MT_VT,-0.5355585551428736
addr_state_NH_WY_DC,-0.6518740727343013
addr_state_NV_ND_ME_NE_IA,0.0
addr_state_NY,-0.1832934921288832
addr_state_PA_AR_OH_UT,-0.31350228536469393
addr_state_TN_AZ_MI,-0.2133330259564071
addr_state_TX,-0.3917571540447719
addr_state_WI_DE,-0.39169050764345
addr_state_WV_KS_CO_SC,-0.48701249854792433
annual_inc_100001-120000,-0.545309509567575
annual_inc_120001-140001,-0.618959557905299
annual_inc_1862-20000,0.0
annual_inc_20001-30000,-0.010093249882749528
annual_inc_30001-40000,-0.07335373776653989
annual_inc_40001-50000,-0.17042857988051263
annual_inc_50001-60000,-0.22755394677629023
annual_inc_60001-70000,-0.3256402916316609
annual_inc_70001-80000,-0.4204016250807995
annual_inc_80001-90000,-0.4709729791219684
annual_inc_90001-100000,-0.472719183292154
dti_0-8,-0.3503226282180953
dti_13-16,-0.22527618997754403
dti_17-18,-0.14910992761180267
dti_19-20,-0.12927231088381605
dti_21-22,-0.09782633819611718
dti_23-27,-0.020380882710659565
dti_28-40,0.0
dti_9-12,-0.27833447414952334
emp_length_10+y,0.0
emp_length_1y,0.0
emp_length_2-4y,0.0
emp_length_5-6y,0.0
emp_length_7-9y,0.0
emp_length_<1y,0.0
grade_A,-0.9073188027648018
grade_B,-0.8631254445596119
grade_C,-0.6354034746053248
grade_D,-0.5109528339704758
grade_E,-0.33889710680742935
grade_F,-0.17537581023094306
grade_G,0.0
home_ownership_MORTGAGE,-0.11253022022667665
home_ownership_NONE_OTHER_RENT_ANY,0.0
home_ownership_OWN,-0.09069257136445778
initial_list_status_f,0.0
initial_list_status_w,-0.03207543259072394
inq_last_6mths_0-0,-0.6901295510977055
inq_last_6mths_1-1,-0.5798719836515515
inq_last_6mths_2-2,-0.48017920571715317
inq_last_6mths_3-4,-0.36308968246829276
inq_last_6mths_5-5,-0.26202451967379853
inq_last_6mths_6-8,0.0
int_rate_10.5-10.2,-0.7758277377632475
int_rate_11.2-13.7,-0.540168911039964
int_rate_14.7-15.7,-0.38445903902470874
int_rate_16.7-17.1,-0.2447354463602942
int_rate_18.1-20.5,-0.13728905336850797
int_rate_21.5-27,0.0
int_rate_5-6.0,-1.6062211832845252
int_rate_7.0-7.5,-1.620531494612476
int_rate_8.5-8.9,-1.0448767673172357
int_rate_9.9-9.5,-1.0527704745732966
months_since_earliest_cr_line_141-220,-0.05284564183109542
months_since_earliest_cr_line_221-280,-0.06548083676718452
months_since_earliest_cr_line_281-360,-0.13292106026943443
months_since_earliest_cr_line_361-587,-0.15156761116675144
months_since_earliest_cr_line_72-140,0.0
months_since_issue_d_35-39,-1.0052044389388894
months_since_issue_d_40-42,-0.7826977947163538
months_since_issue_d_43-45,-0.6180519598618797
months_since_issue_d_46-48,-0.5004773270968665
months_since_issue_d_49-51,-0.4392266610354793
months_since_issue_d_52-54,-0.3377392134774516
months_since_issue_d_55-63,-0.16188248168536257
months_since_issue_d_64-84,0.10058352429241657
months_since_issue_d_85-127,0.0
purpose_car,-0.7241246704144895
purpose_credit_card,-0.564924470208835
purpose_debt_consolidation,-0.45878157152257554
purpose_educational_small_business,0.0
purpose_major_purchase_home_improvement,-0.503996286193282
purpose_medical,-0.37864858500014636
purpose_other,-0.4984429946017894
purpose_renewable_energy_house_moving,-0.4220524628824679
purpose_vacation_wedding,-0.6970803760650753
term_36,0.0
term_60,0.0
verification_status_Not Verified,-0.06537998633322593
verification_status_Source Verified,0.023273322141170977
verification_status_Verified,0.0
