Feature,Coefficient
Intercept,3.4780589821322963
addr_state_AL_OK_LA,-0.1836953471516486
addr_state_CA,-0.2314118848339197
addr_state_CT,-0.4126007310190832
addr_state_FL,-0.13828299518697543
addr_state_HI,-0.188709424284246
addr_state_IL,-0.3984081973171962
addr_state_IN_OR_WA_GA,-0.3241212173057969
addr_state_KY_RI_ID,-0.2930667867939869
addr_state_MD_NJ_VA_NC_NM,-0.20433983878486542
addr_state_MN_MA_SD,-0.22738773350680808
addr_state_MO,-0.2634822563577008
addr_state_MS_AK_MT_VT,-0.535559378140559
addr_state_NH_WY_DC,-0.6518744630258763
addr_state_NV_ND_ME_NE_IA,0.0
addr_state_NY,-0.18329361061129482
addr_state_PA_AR_OH_UT,-0.31350258649832047
addr_state_TN_AZ_MI,-0.21333320860115743
addr_state_TX,-0.3917573393528511
addr_state_WI_DE,-0.39169056792214463
addr_state_WV_KS_CO_SC,-0.4870127703757774
annual_inc_100001-120000,-0.5453082987469449
annual_inc_120001-140001,-0.6189587296432506
annual_inc_1862-20000,0.0
annual_inc_20001-30000,-0.010092233917662133
annual_inc_30001-40000,-0.07335262265912892
annual_inc_40001-50000,-0.17042748757770132
annual_inc_50001-60000,-0.22755288851245378
annual_inc_60001-70000,-0.32563914256749743
annual_inc_70001-80000,-0.42040059273396857
annual_inc_80001-90000,-0.4709721897594598
annual_inc_90001-100000,-0.47271824907188936
dti_0-8,-0.3503220932786451
dti_13-16,-0.22527587743869423
dti_17-18,-0.1491095765059953
dti_19-20,-0.12927200936874705
dti_21-22,-0.09782604647883925
dti_23-27,-0.020380516208301617
dti_28-40,0.0
dti_9-12,-0.2783340973315942
emp_length_10+y,0.0
emp_length_1y,0.0
emp_length_2-4y,0.0
emp_length_5-6y,0.0
emp_length_7-9y,0.0
emp_length_<1y,0.0
grade_A,-0.9073165861334624
grade_B,-0.8631231205021243
grade_C,-0.6354015966145318
grade_D,-0.5109508887441042
grade_E,-0.3388955430920584
grade_F,-0.17537437872998024
grade_G,0.0
home_ownership_MORTGAGE,-0.11253040299742671
home_ownership_NONE_OTHER_RENT_ANY,0.0
home_ownership_OWN,-0.09069276263161791
initial_list_status_f,0.0
initial_list_status_w,-0.03207533074869327
inq_last_6mths_0-0,-0.6901300625390171
inq_last_6mths_1-1,-0.5798727522021787
inq_last_6mths_2-2,-0.48017985419293385
inq_last_6mths_3-4,-0.363090350649612
inq_last_6mths_5-5,-0.26202511033620274
inq_last_6mths_6-8,0.0
int_rate_10.5-10.2,-0.7758288168903312
int_rate_11.2-13.7,-0.5401695669031752
int_rate_14.7-15.7,-0.38445973792826865
int_rate_16.7-17.1,-0.24473612052236712
int_rate_18.1-20.5,-0.137289478691297
int_rate_21.5-27,0.0
int_rate_5-6.0,-1.6062201543748982
int_rate_7.0-7.5,-1.6205323384696098
int_rate_8.5-8.9,-1.044878000904221
int_rate_9.9-9.5,-1.0527717842059223
months_since_earliest_cr_line_141-220,-0.05284511029177849
months_since_earliest_cr_line_221-280,-0.06548082133742328
months_since_earliest_cr_line_281-360,-0.1329208560701588
months_since_earliest_cr_line_361-587,-0.151567327737316
months_since_earliest_cr_line_72-140,0.0
months_since_issue_d_35-39,-1.0052043807383992
months_since_issue_d_40-42,-0.7826978036738963
months_since_issue_d_43-45,-0.6180520123881978
months_since_issue_d_46-48,-0.5004773467869672
months_since_issue_d_49-51,-0.43922683245278893
months_since_issue_d_52-54,-0.33773932491616754
months_since_issue_d_55-63,-0.1618825586229763
months_since_issue_d_64-84,0.10058358765289971
months_since_issue_d_85-127,0.0
purpose_car,-0.7241250617270032
purpose_credit_card,-0.5649244247207971
purpose_debt_consolidation,-0.458781325796888
purpose_educational_small_business,0.0
purpose_major_purchase_home_improvement,-0.5039963973101319
purpose_medical,-0.37864811858765135
purpose_other,-0.49844280540444275
purpose_renewable_energy_house_moving,-0.4220530536825079
purpose_vacation_wedding,-0.6970808568922915
term_36,0.0
term_60,0.0
verification_status_Not Verified,-0.06538008226947122
verification_status_Source Verified,0.02327347020120234
verification_status_Verified,0.0
